batch,species,trt,J4+n,day,juveniles
3,fissidentatus,control,2,4,0
3,fissidentatus,control,2,4,8
3,fissidentatus,control,3,5,153
3,fissidentatus,control,3,5,136
3,fissidentatus,control,3,5,122
3,fissidentatus,control,3,5,179
3,fissidentatus,control,3,5,163
3,fissidentatus,control,3,5,159
3,fissidentatus,control,3,5,168
3,fissidentatus,control,4,6,11
3,fissidentatus,control,4,6,31
3,fissidentatus,control,4,6,27
3,fissidentatus,control,4,6,40
3,fissidentatus,control,4,6,17
3,fissidentatus,control,4,6,34
3,fissidentatus,control,4,6,14
3,fissidentatus,control,5,7,0
3,fissidentatus,control,5,7,0
3,fissidentatus,control,5,7,0
3,fissidentatus,control,5,7,0
3,fissidentatus,control,5,7,0
3,fissidentatus,control,5,7,1
3,fissidentatus,control,5,7,0
3,fissidentatus,control,6,8,0
3,fissidentatus,control,6,8,0
3,fissidentatus,control,6,8,0
3,fissidentatus,control,6,8,0
3,fissidentatus,control,6,8,0
3,fissidentatus,control,6,8,0
3,fissidentatus,control,6,8,0
4,fissidentatus,control,1,3,0
4,fissidentatus,control,1,3,0
4,fissidentatus,control,1,3,0
4,fissidentatus,control,1,3,0
4,fissidentatus,control,1,3,0
4,fissidentatus,control,1,3,0
4,fissidentatus,control,2,4,0
4,fissidentatus,control,2,4,0
4,fissidentatus,control,2,4,0
4,fissidentatus,control,2,4,0
4,fissidentatus,control,2,4,0
4,fissidentatus,control,2,4,0
4,fissidentatus,control,3,5,28
4,fissidentatus,control,3,5,30
4,fissidentatus,control,3,5,28
4,fissidentatus,control,3,5,22
4,fissidentatus,control,3,5,29
4,fissidentatus,control,3,5,27
4,fissidentatus,control,4,6,54
4,fissidentatus,control,4,6,66
4,fissidentatus,control,4,6,48
4,fissidentatus,control,4,6,50
4,fissidentatus,control,4,6,62
4,fissidentatus,control,4,6,77
4,fissidentatus,control,5,7,40
4,fissidentatus,control,5,7,47
4,fissidentatus,control,5,7,
4,fissidentatus,control,5,7,59
4,fissidentatus,control,5,7,36
4,fissidentatus,control,5,7,23
4,fissidentatus,control,6,8,9
4,fissidentatus,control,6,8,0
4,fissidentatus,control,6,8,
4,fissidentatus,control,6,8,8
4,fissidentatus,control,6,8,1
4,fissidentatus,control,6,8,1
4,fissidentatus,control,7,9,
4,fissidentatus,control,7,9,0
4,fissidentatus,control,7,9,
4,fissidentatus,control,7,9,0
4,fissidentatus,control,7,9,0
4,fissidentatus,control,7,9,1
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,40
1,pacificus,control,3,5,29
1,pacificus,control,4,6,54
1,pacificus,control,5,7,10
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,46
1,pacificus,control,3,5,42
1,pacificus,control,4,6,36
1,pacificus,control,5,7,4
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,36
1,pacificus,control,3,5,21
1,pacificus,control,4,6,12
1,pacificus,control,5,7,3
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,35
1,pacificus,control,3,5,37
1,pacificus,control,4,6,44
1,pacificus,control,5,7,1
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,45
1,pacificus,control,3,5,38
1,pacificus,control,4,6,50
1,pacificus,control,5,7,10
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,58
1,pacificus,control,3,5,57
1,pacificus,control,4,6,63
1,pacificus,control,5,7,5
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,37
1,pacificus,control,3,5,46
1,pacificus,control,4,6,49
1,pacificus,control,5,7,0
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,41
1,pacificus,control,3,5,41
1,pacificus,control,4,6,38
1,pacificus,control,5,7,0
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,49
1,pacificus,control,3,5,53
1,pacificus,control,4,6,46
1,pacificus,control,5,7,3
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
1,pacificus,control,0,2,0
1,pacificus,control,1,3,0
1,pacificus,control,2,4,42
1,pacificus,control,3,5,57
1,pacificus,control,4,6,40
1,pacificus,control,5,7,0
1,pacificus,control,6,8,0
1,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,43
2,pacificus,control,2,4,69
2,pacificus,control,3,5,52
2,pacificus,control,4,6,0
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,47
2,pacificus,control,2,4,73
2,pacificus,control,3,5,23
2,pacificus,control,4,6,0
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,14
2,pacificus,control,2,4,2
2,pacificus,control,3,5,0
2,pacificus,control,4,6,0
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,39
2,pacificus,control,2,4,73
2,pacificus,control,3,5,36
2,pacificus,control,4,6,0
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,27
2,pacificus,control,2,4,60
2,pacificus,control,3,5,61
2,pacificus,control,4,6,4
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,44
2,pacificus,control,2,4,65
2,pacificus,control,3,5,43
2,pacificus,control,4,6,0
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,31
2,pacificus,control,2,4,59
2,pacificus,control,3,5,40
2,pacificus,control,4,6,0
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,21
2,pacificus,control,2,4,57
2,pacificus,control,3,5,77
2,pacificus,control,4,6,9
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,22
2,pacificus,control,2,4,62
2,pacificus,control,3,5,57
2,pacificus,control,4,6,0
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
2,pacificus,control,0,2,0
2,pacificus,control,1,3,39
2,pacificus,control,2,4,54
2,pacificus,control,3,5,39
2,pacificus,control,4,6,0
2,pacificus,control,5,7,0
2,pacificus,control,6,8,0
2,pacificus,control,7,9,0
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,74
3,pacificus,control,3,5,50
3,pacificus,control,4,6,38
3,pacificus,control,5,7,0
3,pacificus,control,6,8,
3,pacificus,control,7,9,
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,69
3,pacificus,control,3,5,44
3,pacificus,control,4,6,38
3,pacificus,control,5,7,0
3,pacificus,control,6,8,
3,pacificus,control,7,9,
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,76
3,pacificus,control,3,5,56
3,pacificus,control,4,6,68
3,pacificus,control,5,7,3
3,pacificus,control,6,8,
3,pacificus,control,7,9,
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,84
3,pacificus,control,3,5,53
3,pacificus,control,4,6,42
3,pacificus,control,5,7,1
3,pacificus,control,6,8,
3,pacificus,control,7,9,
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,71
3,pacificus,control,3,5,53
3,pacificus,control,4,6,57
3,pacificus,control,5,7,0
3,pacificus,control,6,8,
3,pacificus,control,7,9,
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,92
3,pacificus,control,3,5,54
3,pacificus,control,4,6,19
3,pacificus,control,5,7,0
3,pacificus,control,6,8,
3,pacificus,control,7,9,
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,81
3,pacificus,control,3,5,55
3,pacificus,control,4,6,56
3,pacificus,control,5,7,0
3,pacificus,control,6,8,
3,pacificus,control,7,9,
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,91
3,pacificus,control,3,5,42
3,pacificus,control,4,6,25
3,pacificus,control,5,7,0
3,pacificus,control,6,8,
3,pacificus,control,7,9,
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,91
3,pacificus,control,3,5,42
3,pacificus,control,4,6,25
3,pacificus,control,5,7,0
3,pacificus,control,6,8,
3,pacificus,control,7,9,
3,pacificus,control,0,2,0
3,pacificus,control,1,3,0
3,pacificus,control,2,4,65
3,pacificus,control,3,5,32
3,pacificus,control,4,6,54
3,pacificus,control,5,7,1
3,pacificus,control,6,8,
3,pacificus,control,7,9,
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,16
4,pacificus,control,3,5,105
4,pacificus,control,4,6,61
4,pacificus,control,5,7,5
4,pacificus,control,6,8,1
4,pacificus,control,7,9,1
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,17
4,pacificus,control,3,5,93
4,pacificus,control,4,6,86
4,pacificus,control,5,7,8
4,pacificus,control,6,8,3
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,10
4,pacificus,control,3,5,90
4,pacificus,control,4,6,97
4,pacificus,control,5,7,26
4,pacificus,control,6,8,1
4,pacificus,control,7,9,1
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,9
4,pacificus,control,3,5,76
4,pacificus,control,4,6,34
4,pacificus,control,5,7,5
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,12
4,pacificus,control,3,5,80
4,pacificus,control,4,6,83
4,pacificus,control,5,7,8
4,pacificus,control,6,8,1
4,pacificus,control,7,9,1
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,22
4,pacificus,control,3,5,88
4,pacificus,control,4,6,89
4,pacificus,control,5,7,7
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,6
4,pacificus,control,3,5,88
4,pacificus,control,4,6,87
4,pacificus,control,5,7,17
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,8
4,pacificus,control,3,5,91
4,pacificus,control,4,6,81
4,pacificus,control,5,7,12
4,pacificus,control,6,8,1
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,0
4,pacificus,control,3,5,1
4,pacificus,control,4,6,46
4,pacificus,control,5,7,38
4,pacificus,control,6,8,2
4,pacificus,control,7,9,4
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,24
4,pacificus,control,3,5,118
4,pacificus,control,4,6,72
4,pacificus,control,5,7,0
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,18
4,pacificus,control,3,5,112
4,pacificus,control,4,6,95
4,pacificus,control,5,7,14
4,pacificus,control,6,8,4
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,8
4,pacificus,control,3,5,90
4,pacificus,control,4,6,101
4,pacificus,control,5,7,6
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,27
4,pacificus,control,3,5,96
4,pacificus,control,4,6,66
4,pacificus,control,5,7,4
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,1
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,16
4,pacificus,control,3,5,69
4,pacificus,control,4,6,87
4,pacificus,control,5,7,5
4,pacificus,control,6,8,4
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,17
4,pacificus,control,3,5,82
4,pacificus,control,4,6,46
4,pacificus,control,5,7,3
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,30
4,pacificus,control,3,5,115
4,pacificus,control,4,6,63
4,pacificus,control,5,7,5
4,pacificus,control,6,8,13
4,pacificus,control,7,9,14
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,20
4,pacificus,control,3,5,118
4,pacificus,control,4,6,79
4,pacificus,control,5,7,4
4,pacificus,control,6,8,1
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,24
4,pacificus,control,3,5,128
4,pacificus,control,4,6,78
4,pacificus,control,5,7,5
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,23
4,pacificus,control,3,5,109
4,pacificus,control,4,6,86
4,pacificus,control,5,7,6
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
4,pacificus,control,0,2,0
4,pacificus,control,1,3,0
4,pacificus,control,2,4,16
4,pacificus,control,3,5,74
4,pacificus,control,4,6,32
4,pacificus,control,5,7,2
4,pacificus,control,6,8,0
4,pacificus,control,7,9,0
4,pacificus,control,8,10,0
4,pacificus,control,9,11,0
4,pacificus,control,10,12,0
4,pacificus,control,11,13,0
4,pacificus,control,12,14,0
