Peristaltic track length [forward - reversal],555.48,1068.88,976.93,-1051.72,-173.65,266.7,-541.14,-640.55,-234.58,192.95,-877.56,148.2,185.86,1140.73,-521.44,-186.1,-118.43,192.48,343.61,-271.8,310.73,-217.75,219.92,322.54,584.69,-831.44,-317.42,340.18,396.06,-390.24,605.02,-199.51,-310.13,-742.4,-453.24,196.64,-295.59,532.68,631.88,369.8,-701.54,178.68,755.24,685.03,131.88,293.18,302.59,-1223.48,-266.13,77.4,-112.41,99.94,76.49,134.63,479.07,71.39,227.39,-346.74,196.91,-277,139.68,156.89,-25.74,116.62,469.87,-175.35,335.03,71.66,-71.51,148.24,-232.02,150.24,646.27,-534.8,-268.75,-190.6,757.36,445.49,533.02,-471.59,246.53,-623.93,596.96,88.73,163.29,-201.46,209.02,224.38,467.39,-413.1,305.13,205.89,629.19,213.74
Peristaltic speed (um/s) [peristaltic track length / time],55.49,106.78,97.6,-105.07,-17.35,26.64,-54.06,-63.99,-23.43,19.28,-87.67,14.81,18.4,112.93,-51.62,-18.42,-11.72,19.05,34.02,-26.91,30.76,-21.56,21.77,31.93,58.38,-83.02,-31.69,33.97,39.55,-38.96,60.41,-19.92,-30.97,-74.13,-45.26,19.63,-29.51,53.19,63.09,36.92,-70.05,17.84,75.41,68.4,13.17,29.27,30.21,-122.16,-26.51,7.71,-11.2,9.96,7.62,13.41,47.72,7.11,22.65,-34.54,19.61,-27.59,13.91,15.63,-2.56,11.62,46.8,-17.47,33.37,7.14,-7.12,14.77,-23.11,14.97,64.56,-53.42,-26.85,-19.04,75.65,44.5,53.24,-47.11,24.63,-62.33,59.63,8.22,15.13,-18.66,19.37,20.79,43.3,-38.27,28.27,19.08,58.29,19.8
Straight-line distance (um),363.11,877.61,733.55,878.81,85.27,158.2,488.71,395.8,166.73,68.25,757.28,68.83,117.02,627.25,369.99,101.3,157.06,156.45,229.1,126.94,242.22,188.55,153.34,262.7,346.05,527.54,90.97,226.66,49.67,333.2,90.95,75.26,235.59,546.71,141.43,104.45,78.18,350.54,205.2,228.38,450.78,37.87,358.31,554.63,34.19,242.94,219.38,831.09,193.09,116.92,90.75,150.16,75.41,84.29,369.49,23.45,253.32,340.41,92.4,149.14,85.55,125.07,16.37,87.96,363.39,90.57,197.32,31.23,46.88,87.98,95.59,41.07,119.65,207.74,196.1,37.26,677.77,266.28,324.4,183.74,164.5,421.39,371.88,47.8,160.6,151.5,100.3,150.8,261.74,405.73,328.98,209,616.72,167.42
Wavelength (um),693.39,599.61,718.83,667.27,732.62,648.19,634.35,565.12,575.09,682.28,652.53,595.59,796.88,601.35,629.03,532.39,600.83,487.63,530.12,610.14,602.13,556.42,,619.42,570.27,597.06,610.53,605.07,562.07,542.52,449.32,528.54,453.08,583.49,523.49,527.99,533.21,509.42,464.84,385.89,516.99,458.09,498.28,563.23,391.93,425.21,528.85,556.86,735.07,683.19,579.74,611.63,714.01,,692.81,657.43,718.31,685.44,570.4,499.02,,616.89,571.92,745.69,642.9,856.79,555.7,606.94,617.49,520.91,662.78,717.3,732.56,614.8,640.95,549.46,697.23,661.14,663.05,597.01,615.67,595.6,612.46,695.56,686.91,691.48,,573.09,646.68,691.2,564.53,676.13,644.22,666.24
Mean Amplitude (um),76.74,53.97,67.39,60.5,30.26,47.12,74.82,81.24,166.65,58.53,48.18,22.78,45.98,133.1,73.59,130.13,54.58,46.75,72.86,176.44,69.39,143.06,138.89,42.68,79.97,89.72,86.07,65.94,53.11,71.37,116.75,43.28,94.88,69.5,70.02,77.12,38.68,76.87,95.99,135.68,65.77,35.38,57.44,62.82,44.16,72.74,56.09,85.33,88.81,19.72,54.71,63.07,73.74,94.14,66.71,32.37,82.93,93.13,51.64,118.51,115.75,53.98,132.32,68.67,115.09,41.36,83.01,60.84,33.06,40.94,92.42,43.27,106.57,113.88,87.95,108.6,74.77,83.96,66.46,104.3,55.67,73.28,65.36,22.42,82.37,92.56,67.09,143.38,70.69,81.39,108.92,150.19,168.46,50.08
Max Amplitude (um),150.45,119.43,154.11,126.26,86.5,109.83,138.28,132.99,204.6,135.7,129.28,62.34,149,212.71,136.62,162.99,141.27,113.79,127.08,222.59,139.79,173.9,170.37,82.46,156.73,168.68,113.94,124.92,139.23,95.86,160.7,88.27,153.37,143.43,188.07,127.34,72.11,136.96,164.72,178.32,125.97,90.23,149.63,148,84.19,125.49,122.54,150.32,168.72,95.89,100.18,93.07,105.7,144.1,165.54,74.26,143.02,190.5,105.54,185.89,182.61,80.37,139.4,155.64,200.35,92.6,162.58,71.91,75.64,103.41,142.39,86.21,211.96,197.06,156.62,164.6,152.24,163.55,135.29,205,118.61,129.55,139.53,52.51,171.2,185.07,110.25,212.14,138.97,175.47,186.96,184.17,210.65,81.08
Turn Count,4,5,2,4,2,3,1,2,1,2,3,5,1,2,3,1,1,2,3,1,2,1,1,3,7,3,2,2,5,2,2,3,2,3,2,1,4,4,3,1,4,2,6,3,3,2,1,5,2,1,1,2,1,1,3,2,2,2,3,2,1,2,1,1,2,3,2,1,2,3,1,2,3,2,1,1,3,3,3,4,1,3,3,1,1,1,3,1,3,2,2,1,2,2
Distance Travelled Forward (um),2434.95,4644.26,4003.57,2110.57,2364.85,3063.23,1425.86,2568.02,1823.72,1890.44,2607.2,2105.05,1344.5,2932.49,2056.33,1302.71,864.39,1917.91,1811.16,1506.54,1673.23,1178.25,1861.81,1849.57,3824.39,1817.06,1546.04,2301.11,2369.56,1647.34,1989.86,2265.7,1290.94,1492.89,1719.2,1422.52,1424.37,2149.19,2129.69,2627.35,901.02,1945.68,2067.19,1803.37,1638.95,1839.47,2242.87,1393.06,1344.08,675.13,809.23,1213.76,993.31,1138.52,1469.89,1420.9,1406.83,1026.82,1118.6,700.88,1272.74,1077.23,977.97,991.25,1663.65,1383.19,989.54,1650.23,845.27,2251.54,1270.83,1299.82,1709.12,1488.74,1032.61,1583.47,1710.97,1304.83,1474.42,1635.26,1584.14,969.7,2088.51,1008.52,1148.96,944.28,1065.74,1507.65,1185.11,1397.53,1049.65,1092.22,1678.37,1130.08
Distance Travelled Reverse (um),1879.47,3575.38,3026.64,3162.29,2538.5,2796.53,1967.01,3208.57,2058.3,1697.49,3484.76,1956.85,1158.64,1791.76,2577.77,1488.81,982.83,1725.44,1467.55,1778.34,1362.5,1396.01,1641.89,1527.03,3239.71,2648.5,1863.46,1960.93,1973.51,2037.58,1384.84,2465.21,1601.07,2235.28,2172.45,1225.89,1719.96,1616.52,1497.81,2257.54,1602.55,1767,1311.95,1118.34,1507.07,1546.29,1940.28,2616.54,1610.22,597.72,921.64,1113.82,916.82,1003.89,990.82,1349.51,1179.44,1373.56,921.69,977.88,1133.07,920.34,1003.7,874.63,1193.78,1558.54,654.51,1578.57,916.79,2103.3,1502.85,1149.57,1062.85,2023.54,1301.36,1774.06,953.62,859.34,941.4,2106.85,1337.61,1593.63,1491.55,919.79,985.67,1145.74,856.72,1283.26,717.72,1810.64,744.52,886.33,1049.18,916.33
Cumulative forward time (s),7.84,8.84,9.44,2.94,7.52,7.75,2.37,6.64,6.76,7.25,3.43,7.56,8.03,10.12,5.81,6.13,7.26,9.58,8.61,6,8.83,6.43,8.58,9.3,8.03,3.7,6.26,7.53,6.75,5.16,5.9,8.17,5.68,3.23,6.72,8.21,6.75,6.47,6.47,8.85,2.07,7.6,7.74,9.86,7.88,7.94,8.41,1.78,6.26,7.52,6.85,7.97,7.18,9.39,8.38,7.35,8.32,4.18,9.56,4.28,8.43,8.43,8.27,8.23,7.94,7.38,9.69,7.61,7.81,8.87,6.8,7.21,7.27,4.87,5.17,6.49,9.3,8.44,9.53,6.79,8.59,3.01,9.5,8.39,8.63,7.03,7.09,9.06,9.18,6.46,9.29,9.29,10.33,9.1
Number of pirouettes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirouette tune (s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobility reversal time (s),4.17,3.34,3.45,7.9,5.07,4.96,7.07,5.48,5.96,4.71,7.7,4.93,4.75,2.04,6.07,6.13,5.06,4.5,3.92,6.38,3.8,5.72,4.46,3.06,3.81,7.74,5.19,4.54,5.6,6.4,5.26,4.95,6.22,7.68,5.29,4.23,4.77,4.57,4.43,3.24,8.46,4.79,3.67,2.04,4.4,4.13,4.63,8.8,5.69,4.54,5.25,4.8,5.25,4.67,3.25,5.05,4.39,7.08,3.67,6.77,4.48,3.73,4.85,4.5,4.31,5.42,2.82,4.56,5.57,4.53,5.65,4.79,3.89,5.61,7,5,2.47,3.69,2.61,5.29,3.35,7.81,2.51,4.92,4.34,5.54,5.43,5.07,3.69,6.81,3.18,4.15,3.49,4.12
Mobility idle time (s),0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0.17,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.08,0,0,0,0,0,0,0.23,0.25,0,0,0,0.14,0.14,0.18,0,0.11,0,0.18,0,0,0.08,0,0.12,0,0,0.19,0.2,0,0,0,0,0.17,0,0,0,0.29,0,0.15,0,0,0,0,0
Mobility forward time (s),5.85,6.68,6.58,2.13,4.96,5.07,2.63,4.54,4.07,5.31,2.33,5.1,5.37,8,4.04,3.98,5.06,5.61,6.2,3.74,6.32,4.4,5.66,6.92,6.08,2.29,4.84,5.49,4.43,3.63,4.77,5.09,3.63,2.36,4.74,5.55,5.26,5.46,5.6,6.79,1.58,5.24,6.36,7.99,5.63,5.9,5.4,1.23,4.25,5.51,4.73,5.25,4.8,5.39,6.8,5,5.66,2.75,6.14,3.28,5.57,6.32,5.07,5.42,5.56,4.64,7.12,5.5,4.3,5.53,4.41,5.19,6.14,4.29,3.02,5.03,7.37,6.14,7.42,4.74,6.68,2.22,7.34,5.89,6.47,5.27,5.09,5.73,6.96,4,7.63,6.66,7.32,6.69
